ident(String),type(String),name(String),elevation_ft(String),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String)
00A,heliport,Total Rf Heliport,11.0,,US,US-PA,Bensalem,00A,00A
00AA,small_airport,Aero B Ranch Airport,3435.0,,US,US-KS,Leoti,00AA,00AA
00AK,small_airport,Lowell Field,450.0,,US,US-AK,Anchor Point,00AK,00AK
00AL,small_airport,Epps Airpark,820.0,,US,US-AL,Harvest,00AL,00AL
00AR,closed,Newport Hospital & Clinic Heliport,237.0,,US,US-AR,Newport,,
00AS,small_airport,Fulton Airport,1100.0,,US,US-OK,Alex,00AS,00AS
00AZ,small_airport,Cordes Airport,3810.0,,US,US-AZ,Cordes,00AZ,00AZ
00CA,small_airport,Goldstone /Gts/ Airport,3038.0,,US,US-CA,Barstow,00CA,00CA
00CL,small_airport,Williams Ag Airport,87.0,,US,US-CA,Biggs,00CL,00CL
00CN,heliport,Kitchen Creek Helibase Heliport,3350.0,,US,US-CA,Pine Valley,00CN,00CN
00CO,closed,Cass Field,4830.0,,US,US-CO,Briggsdale,,
00FA,small_airport,Grass Patch Airport,53.0,,US,US-FL,Bushnell,00FA,00FA
00FD,heliport,Ringhaver Heliport,25.0,,US,US-FL,Riverview,00FD,00FD
00FL,small_airport,River Oak Airport,35.0,,US,US-FL,Okeechobee,00FL,00FL
00GA,small_airport,Lt World Airport,700.0,,US,US-GA,Lithonia,00GA,00GA
00GE,heliport,Caffrey Heliport,957.0,,US,US-GA,Hiram,00GE,00GE
00HI,heliport,Kaupulehu Heliport,43.0,,US,US-HI,Kailua/Kona,00HI,00HI
00ID,small_airport,Delta Shores Airport,2064.0,,US,US-ID,Clark Fork,00ID,00ID
00IG,small_airport,Goltl Airport,3359.0,,US,US-KS,McDonald,00IG,00IG
00II,heliport,Bailey Generation Station Heliport,600.0,,US,US-IN,Chesterton,00II,00II
00IL,small_airport,Hammer Airport,840.0,,US,US-IL,Polo,00IL,00IL
00IN,heliport,St Mary Medical Center Heliport,634.0,,US,US-IN,Hobart,00IN,00IN
00IS,small_airport,Hayenga's Cant Find Farms Airport,820.0,,US,US-IL,Kings,00IS,00IS
00KS,small_airport,Hayden Farm Airport,1100.0,,US,US-KS,Gardner,00KS,00KS
00KY,small_airport,Robbins Roost Airport,1265.0,,US,US-KY,Stanford,00KY,00KY
00LA,heliport,Shell Chemical East Site Heliport,15.0,,US,US-LA,Gonzales,00LA,00LA
00LL,heliport,Ac & R Components Heliport,600.0,,US,US-IL,Chatham,00LL,00LL
00LS,small_airport,Lejeune Airport,12.0,,US,US-LA,Esterwood,00LS,00LS
00MD,small_airport,Slater Field,45.0,,US,US-MD,Federalsburg,00MD,00MD
00MI,heliport,Dow Chemical Heliport,588.0,,US,US-MI,Ludington,00MI,00MI
00MN,small_airport,Battle Lake Municipal Airport,1365.0,,US,US-MN,Battle Lake,00MN,00MN
00MO,small_airport,Cooper Flying Service Airport,970.0,,US,US-MO,Alba,00MO,00MO
00MT,closed,Sands Ranch Airport,2600.0,,US,US-MT,Havre,,
00N,small_airport,Bucks Airport,105.0,,US,US-NJ,Bridgeton,00N,00N
00NC,small_airport,North Raleigh Airport,348.0,,US,US-NC,Louisburg,00NC,00NC
00NJ,heliport,Colgate-Piscataway Heliport,78.0,,US,US-NJ,New Brunswick,00NJ,00NJ
00NK,seaplane_base,Cliche Cove Seaplane Base,96.0,,US,US-NY,Beekmantown,00NK,00NK
00NY,small_airport,Weiss Airfield,1000.0,,US,US-NY,West Bloomfield,00NY,00NY
00OH,small_airport,Exit 3 Airport,785.0,,US,US-OH,Wauseon,00OH,00OH
00OI,heliport,Miami Valley Hospital Heliport,905.0,,US,US-OH,Dayton,00OI,00OI
00OK,small_airport,Gull Bay Landing Airport,960.0,,US,US-OK,Sandsprings,00OK,00OK
00OR,heliport,Steel Systems Heliport,195.0,,US,US-OR,Salem,00OR,00OR
00PA,heliport,R J D Heliport,402.0,,US,US-PA,Coatesville,00PA,00PA
00PN,small_airport,Ferrell Field,1301.0,,US,US-PA,Mercer,00PN,00PN
00PS,closed,Thomas Field,815.0,,US,US-PA,Loysville,,
00S,small_airport,Mc Kenzie Bridge State Airport,1620.0,,US,US-OR,Mc Kenzie Bridge,00S,00S
00SC,small_airport,Flying O Airport,150.0,,US,US-SC,Sumter,00SC,00SC
00SD,small_airport,Homan Field,1590.0,,US,US-SD,Gary,00SD,00SD
00TA,heliport,Sw Region Faa Heliport,598.0,,US,US-TX,Fort Worth,00TA,00TA
00TE,heliport,Tcjc-Northeast Campus Heliport,600.0,,US,US-TX,Fort Worth,00TE,00TE
00TN,small_airport,Ragsdale Road Airport,1100.0,,US,US-TN,Manchester,00TN,00TN
00TS,small_airport,Alpine Range Airport,670.0,,US,US-TX,Everman,00TS,00TS
00TX,closed,San Jacinto Methodist Hospital Heliport,19.0,,US,US-TX,Baytown,,
00UT,closed,Clear Creek Ranch Airport,6138.0,,US,US-UT,Kanab,,
00VA,small_airport,Vaughan Airport,551.0,,US,US-VA,Alton,00VA,00VA
00VI,small_airport,Groundhog Mountain Airport,2680.0,,US,US-VA,Hillsville,00VI,00VI
00W,small_airport,Lower Granite State Airport,719.0,,US,US-WA,Colfax,00W,00W
00WA,small_airport,Howell Airport,150.0,,US,US-WA,Longbranch,00WA,00WA
00WI,small_airport,Northern Lite Airport,860.0,,US,US-WI,Waupaca,00WI,00WI
00WN,small_airport,Hawks Run Airport,2900.0,,US,US-WA,Asotin,00WN,00WN
00WV,small_airport,Lazy J. Aerodrome,2060.0,,US,US-WV,Beverly,00WV,00WV
00WY,heliport,Mountain View Regional Hospital Heliport,5210.0,,US,US-WY,Casper,00WY,00WY
00XS,small_airport,L P Askew Farms Airport,3110.0,,US,US-TX,O'Donnell,00XS,00XS
01A,small_airport,Purkeypile Airport,1950.0,,US,US-AK,Purkeypile,01A,01A
01AK,heliport,Providence Seward Medical Center Heliport,120.0,,US,US-AK,Seward,01AK,01AK
01AL,small_airport,Ware Island Airport,344.0,,US,US-AL,Clanton,01AL,01AL
01AR,heliport,Community Hospital of De Queen Heliport,400.0,,US,US-AR,De Queen,01AR,01AR
01AZ,heliport,Yat Heliport,3300.0,,US,US-AZ,Camp Verde,01AZ,01AZ
01C,closed,Grant Airport,815.0,,US,US-MI,Grant,01C,01C
01CA,heliport,Lugo Substation Heliport,3733.0,,US,US-CA,Hesperia,01CA,01CA
01CL,small_airport,Swansboro Country Airport,2594.0,,US,US-CA,Placerville,01CL,01CL
